Date,QQQ,SPY
2021-05-24,324.72314453125,397.1768493652344
2021-05-25,325.17236328125,396.29559326171875
2021-05-26,326.3052062988281,397.08203125
2021-05-27,325.08453369140625,397.2904968261719
2021-05-28,326.10986328125,398.0011291503906
2021-06-01,325.02587890625,397.6506042480469
2021-06-02,325.66064453125,398.27593994140625
2021-06-03,322.2719421386719,396.7978210449219
2021-06-04,327.74078369140625,400.4268798828125
2021-06-07,328.71734619140625,400.0383605957031
2021-06-08,328.8736572265625,400.1236267089844
2021-06-09,328.9517517089844,399.52667236328125
2021-06-10,332.3796081542969,401.3838195800781
2021-06-11,333.2486572265625,402.0471496582031
2021-06-14,336.442138671875,402.94732666015625
2021-06-15,334.2448425292969,402.2082214355469
2021-06-16,333.02410888671875,399.9625244140625
2021-06-17,337.2527160644531,399.8299255371094
2021-06-18,334.6061706542969,394.43603515625
2021-06-21,336.6856994628906,400.082763671875
2021-06-22,339.82421875,402.2217102050781
2021-06-23,339.9903869628906,401.7369079589844
2021-06-24,342.09246826171875,404.1134338378906
2021-06-25,341.6720886230469,405.54888916015625
2021-06-28,345.8273620605469,406.366455078125
2021-06-29,347.078857421875,406.5851135253906
2021-06-30,346.53131103515625,406.9273376464844
2021-07-01,346.6681823730469,409.1803283691406
2021-07-02,350.6475524902344,412.30792236328125
2021-07-06,352.1629943847656,411.556884765625
2021-07-07,352.906005859375,413.0112609863281
2021-07-08,350.77459716796875,409.64605712890625
2021-07-09,352.96466064453125,414.01904296875
2021-07-12,354.3432922363281,415.50201416015625
2021-07-13,354.3432922363281,414.0855712890625
2021-07-14,354.97882080078125,414.7034606933594
2021-07-15,352.4855651855469,413.2870788574219
2021-07-16,349.6307067871094,410.04534912109375
2021-07-19,346.76605224609375,403.9898681640625
2021-07-20,350.7942199707031,409.7791748046875
2021-07-21,353.50244140625,413.0969543457031
2021-07-22,355.8392028808594,413.9620056152344
2021-07-23,359.9944763183594,418.2207946777344
2021-07-26,360.2779541015625,419.24749755859375
2021-07-27,356.3085021972656,417.3367614746094
2021-07-28,357.67724609375,417.1656494140625
2021-07-29,358.3128356933594,418.89581298828125
2021-07-30,356.4453430175781,416.8613586425781
2021-08-02,356.47467041015625,415.9867858886719
2021-08-03,358.63543701171875,419.3711242675781
2021-08-04,359.1535949707031,417.3082275390625
2021-08-05,361.4316711425781,419.95098876953125
2021-08-06,359.8478088378906,420.6448974609375
2021-08-09,360.51263427734375,420.30267333984375
2021-08-10,358.66485595703125,420.8255615234375
2021-08-11,358.048828125,421.8712158203125
2021-08-12,359.33935546875,423.1355895996094
2021-08-13,360.60064697265625,423.90557861328125
2021-08-16,360.757080078125,424.90374755859375
2021-08-17,357.5794677734375,422.118408203125
2021-08-18,354.1379699707031,417.4983825683594
2021-08-19,355.8489074707031,418.1448059082031
2021-08-20,359.5349426269531,421.47198486328125
2021-08-23,364.912353515625,425.1794738769531
2021-08-24,366.0269470214844,425.8543395996094
2021-08-25,366.4473571777344,426.7479553222656
2021-08-26,364.12042236328125,424.2287902832031
2021-08-27,367.65972900390625,428.0218200683594
2021-08-30,371.78570556640625,429.90411376953125
2021-08-31,371.4826354980469,429.2671813964844
2021-09-01,372.0985412597656,429.4953308105469
2021-09-02,371.922607421875,430.8166809082031
2021-09-03,373.0664978027344,430.7120666503906
2021-09-07,373.5944519042969,429.17205810546875
2021-09-08,372.29412841796875,428.6492614746094
2021-09-09,371.0133056640625,426.8145751953125
2021-09-10,368.1975402832031,423.4493103027344
2021-09-13,367.9432373046875,424.5330505371094
2021-09-14,366.89715576171875,422.24200439453125
2021-09-15,369.6249694824219,425.76885986328125
2021-09-16,369.879150390625,425.0938720703125
2021-09-17,365.49896240234375,420.9530029296875
2021-09-20,357.94659423828125,413.9339294433594
2021-09-21,358.3869934082031,413.5429382324219
2021-09-22,361.7344970703125,417.5770568847656
2021-09-23,365.072265625,422.6505126953125
2021-09-24,365.414794921875,423.3467712402344
2021-09-27,362.4979248046875,422.1355895996094
2021-09-28,352.2401428222656,413.62884521484375
2021-09-29,351.6626281738281,414.3249816894531
2021-09-30,350.37066650390625,409.260986328125
2021-10-01,352.5436096191406,414.1247253417969
2021-10-04,345.1438903808594,408.78411865234375
2021-10-05,349.8030090332031,413.0375061035156
2021-10-06,352.04443359375,414.754150390625
2021-10-07,355.27447509765625,418.3399658203125
2021-10-08,353.50286865234375,417.5770568847656
2021-10-11,350.7916259765625,414.5538330078125
2021-10-12,349.56805419921875,413.533447265625
2021-10-13,352.367431640625,415.0211486816406
2021-10-14,358.85687255859375,422.0021057128906
2021-10-15,361.1178894042969,425.2159423828125
2021-10-18,364.74920654296875,426.474853515625
2021-10-19,367.5094299316406,429.7650451660156
2021-10-20,367.0298156738281,431.4530334472656
2021-10-21,369.2712707519531,432.5783386230469
2021-10-22,366.16851806640625,432.1300964355469
2021-10-25,369.9172668457031,434.4475402832031
2021-10-26,371.0820617675781,434.8385314941406
2021-10-27,371.94342041015625,432.912109375
2021-10-28,376.0739440917969,437.0892639160156
2021-10-29,377.92388916015625,437.9761962890625
2021-11-01,379.2158203125,438.72955322265625
2021-11-02,380.801513671875,440.5033874511719
2021-11-03,384.8439636230469,443.1927490234375
2021-11-04,389.777099609375,445.28131103515625
2021-11-05,390.1490783691406,446.8263244628906
2021-11-08,389.62054443359375,447.2077331542969
2021-11-09,386.9385681152344,445.7295837402344
2021-11-10,381.2518005371094,442.1436767578125
2021-11-11,382.30889892578125,442.2867126464844
2021-11-12,386.3316955566406,445.6246032714844
2021-11-15,386.2435607910156,445.7772216796875
2021-11-16,388.9941101074219,447.5415344238281
2021-11-17,389.19964599609375,446.4543762207031
2021-11-18,393.2322692871094,447.970703125
2021-11-19,395.4247741699219,447.16961669921875
2021-11-22,390.83416748046875,445.9107666015625
2021-11-23,389.0528564453125,446.5021057128906
2021-11-24,390.3056945800781,447.6941223144531
2021-11-26,382.90594482421875,437.70916748046875
2021-11-29,391.2159423828125,443.07830810546875
2021-11-30,385.47039794921875,434.4571228027344
2021-12-01,378.9124755859375,429.6315002441406
2021-12-02,381.643310546875,436.2118835449219
2021-12-03,375.0070495605469,432.41619873046875
2021-12-06,378.011962890625,437.5374755859375
2021-12-07,389.3953552246094,446.5878601074219
2021-12-08,391.1376037597656,447.7704162597656
2021-12-09,385.3822937011719,444.74725341796875
2021-12-10,389.5715026855469,448.9339599609375
2021-12-13,383.9434814453125,444.9570617675781
2021-12-14,379.9695739746094,441.8957824707031
2021-12-15,388.6318664550781,448.8003845214844
2021-12-16,378.63836669921875,444.8426208496094
2021-12-17,376.7493591308594,440.10821533203125
2021-12-20,373.0947265625,435.4283752441406
2021-12-21,381.4447021484375,443.1611633300781
2021-12-22,386.0901184082031,447.5921630859375
2021-12-23,389.00091552734375,450.37713623046875
2021-12-27,395.4299621582031,456.7509460449219
